"X","Y"
1,1510.81540374215
2,1510.8142358079
3,1510.81477523122
4,1510.81292210135
5,1510.81188776228
6,1510.81504655125
7,1510.80900250777
8,1510.81744326727
9,1510.81535183456
10,1510.81038523536
11,1510.81072574205
12,1510.8105641719
13,1510.81247867579
14,1510.81379210187
15,1510.81067858961
16,1510.817142367
17,1510.80874117599
18,1510.81218238112
19,1510.81404713157
20,1510.81288366072
21,1510.80842310901
22,1510.81125953011
23,1510.81448303566
24,1510.81456517319
25,1510.80778252116
26,1510.81060158132
27,1510.80893069707
28,1510.81369845416
29,1510.80977453221
30,1510.81329195921
31,1510.80864481698
32,1510.80352810382
33,1510.80968716359
34,1510.81182004342
35,1510.80721676947
36,1510.80481840456
37,1510.80653505775
38,1510.80900175831
39,1510.80983085668
40,1510.80486898741
41,1510.80708289754
42,1510.80616569151
43,1510.80829038097
44,1510.81034399545
45,1510.80727499484
46,1510.8075640239
47,1510.79739702345
48,1510.80644404509
49,1510.80800995289
50,1510.8110472405
51,1510.80683214411
52,1510.81052242957
53,1510.80744014304
54,1510.80649399982
55,1510.80592256109
56,1510.80570210527
57,1510.80100687506
58,1510.80730152275
59,1510.81026614382
60,1510.80739788562
61,1510.806765335
62,1510.80771413402
63,1510.80794090664
64,1510.80270390988
65,1510.80342563384
66,1510.80326652116
67,1510.80670873334
68,1510.80990622368
69,1510.80422039176
70,1510.80413796091
71,1510.81192730644
72,1510.80651204069
73,1510.81095636554
74,1510.80351395826
75,1510.8050195032
76,1510.81111889424
77,1510.80672526564
78,1510.80395896616
79,1510.79955398061
80,1510.80415142009
81,1510.80450238114
82,1510.80339927089
83,1510.80233610068
84,1510.80473323339
85,1510.80059377422
86,1510.80656321384
87,1510.80614920653
88,1510.80395342091
89,1510.80110906853
90,1510.80163145254
91,1510.80688253531
92,1510.80293487766
93,1510.80595583196
94,1510.80880097781
95,1510.80393427538
96,1510.79902945865
97,1510.80126340664
98,1510.80283285231
99,1510.80101585795
100,1510.80032374792
101,1510.80227050357
102,1510.80048774215
103,1510.80248358918
104,1510.80233098359
105,1510.80267009965
106,1510.80351178384
107,1510.80462330132
108,1510.79645642556
109,1510.8012640394
110,1510.8017688557
111,1510.80467504437
112,1510.7990731114
113,1510.80231505161
114,1510.80440042569
115,1510.79964641082
116,1510.80335308601
117,1510.79700548135
118,1510.8020654728
119,1510.79830473642
120,1510.80390458605
121,1510.79876124259
122,1510.79944595767
123,1510.79717197866
124,1510.80329074325
125,1510.80134840887
126,1510.79667220549
127,1510.80512031099
128,1510.79514949367
129,1510.80089616165
130,1510.80320496259
131,1510.80576293888
132,1510.80200953717
133,1510.80250565465
134,1510.79938820373
135,1510.79818877393
136,1510.80368666595
137,1510.79696515763
138,1510.80531842298
139,1510.79813710307
140,1510.7942827981
141,1510.80023711653
142,1510.80236529961
143,1510.80297847856
144,1510.79550663656
145,1510.79876766609
146,1510.79861779271
147,1510.80101898589
148,1510.79751632732
149,1510.79808933346
150,1510.79835769342
151,1510.79463036039
152,1510.80348484295
153,1510.79216796845
154,1510.79922383947
155,1510.80031217978
156,1510.80207888665
157,1510.7954284995
158,1510.79390538714
159,1510.79839954014
160,1510.79680853408
161,1510.79775856825
162,1510.80031508656
163,1510.79807565794
164,1510.80069812706
165,1510.79743263391
166,1510.79593722145
167,1510.79465167343
168,1510.79770933027
169,1510.79423896065
170,1510.800925273
171,1510.7964719901
172,1510.7988174794
173,1510.8001156883
174,1510.8025537722
175,1510.79777759358
176,1510.79130498044
177,1510.79670490742
178,1510.7942507062
179,1510.80092396667
180,1510.79428821936
181,1510.7895205232
182,1510.79999488779
183,1510.79455935195
184,1510.79510948962
185,1510.80170287414
186,1510.79471425038
187,1510.79758781255
188,1510.78803862138
189,1510.79993934366
190,1510.79064345183
191,1510.79626757765
192,1510.79522244782
193,1510.79449084492
194,1510.79099880624
195,1510.79652687875
196,1510.79843543983
197,1510.79061472999
198,1510.79675776533
199,1510.79416545057
200,1510.795954082
201,1510.79213017144
202,1510.79575142914
203,1510.79022194499
204,1510.79751326655
205,1510.79600447784
206,1510.79886186173
207,1510.79085555233
208,1510.79554543486
209,1510.79524951853
210,1510.79191051612
211,1510.79365193566
212,1510.79389709358
213,1510.79104211421
214,1510.79607884451
215,1510.79509093775
216,1510.79455757089
217,1510.79210967305
218,1510.79098700889
219,1510.79563244679
220,1510.7944782067
221,1510.79475782988
222,1510.79832727039
223,1510.78831429468
224,1510.79581260034
225,1510.7936383537
226,1510.79714342496
227,1510.79573854462
228,1510.79902781642
229,1510.79364829879
230,1510.79156831474
231,1510.79546492107
232,1510.79180989534
233,1510.79193545182
234,1510.79579552023
235,1510.79417004285
236,1510.79442868241
237,1510.7991504656
238,1510.79429915434
239,1510.78642926715
240,1510.79186657281
241,1510.79580904955
242,1510.7909985574
243,1510.79245807299
244,1510.79739789752
245,1510.79096148653
246,1510.7991869347
247,1510.79099625416
248,1510.79169695612
249,1510.79355352912
250,1510.79229146149
251,1510.7926950765
252,1510.79067791129
253,1510.79874876562
254,1510.79496449748
255,1510.79306670433
256,1510.79116453589
257,1510.79888186861
258,1510.79158735947
259,1510.79355387729
260,1510.79201854681
261,1510.78967470654
262,1510.80174794949
263,1510.78705463544
264,1510.7911236647
265,1510.79753650727
266,1510.79503939392
267,1510.79365824437
268,1510.78553610067
269,1510.78720247656
270,1510.7949297864
271,1510.79621601074
272,1510.7941680155
273,1510.78718206331
274,1510.79429201047
275,1510.79494736163
276,1510.79104346232
277,1510.78825330756
278,1510.79612990645
279,1510.79048071669
280,1510.79083548968
281,1510.79300320829
282,1510.79074064966
283,1510.79180513944
284,1510.78987311594
285,1510.7934608168
286,1510.79812377167
287,1510.79362810815
288,1510.79059851848
289,1510.79233041452
290,1510.7921038567
291,1510.7949641746
292,1510.79300499037
293,1510.78859091067
294,1510.79503512481
295,1510.79393424359
296,1510.79260304046
297,1510.79623331397
298,1510.7877788716
299,1510.79451674963
300,1510.79114537454
301,1510.79621422745
302,1510.79421914258
303,1510.79170387787
304,1510.79088071792
305,1510.79223236315
306,1510.7936913962
307,1510.79248141008
308,1510.789292885
309,1510.79147883365
310,1510.79468201214
311,1510.78981416765
312,1510.7926599427
313,1510.79342677041
314,1510.79439903625
315,1510.7898556335
316,1510.79302248424
317,1510.79114129335
